application,num_splits,num_samples,test_ratio,window_duration,window_overlap,window_shape,stand1,fft,stand2,mean_score,std_dev
cap mat.,30,1020,0.25,0.1,0.5,boxcar,FeatureScaler1,FFT_Mag,FeatureScaler2,0.836583432123218,0.03965654134336484
cap mat.,30,1020,0.25,0.1,0.5,boxcar,FeatureScaler1,FFT_Mag,ScaleControl2,0.7819705908628272,0.037818278268221026
cap mat.,30,1020,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_Mag,FeatureScaler2,0.8827634826209477,0.034917727417628656
cap mat.,30,1020,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_Mag,ScaleControl2,0.2732174829515792,0.2084762027356581
cap mat.,30,1020,0.25,0.1,0.5,boxcar,FeatureScaler1,FFT_MagSq,FeatureScaler2,0.7854516962404172,0.04852445704641241
cap mat.,30,1020,0.25,0.1,0.5,boxcar,FeatureScaler1,FFT_MagSq,ScaleControl2,0.6426851728970608,0.04254160778858586
cap mat.,30,1020,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_MagSq,FeatureScaler2,0.8455953604571451,0.040754317801462395
cap mat.,30,1020,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_MagSq,ScaleControl2,0.2732174829515792,0.2084762027356581
cap mat.,30,1020,0.25,0.1,0.5,boxcar,FeatureScaler1,FFT_MagRt,FeatureScaler2,0.8685966684487353,0.0439489389889725
cap mat.,30,1020,0.25,0.1,0.5,boxcar,FeatureScaler1,FFT_MagRt,ScaleControl2,0.841912032401394,0.042836567189041684
cap mat.,30,1020,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_MagRt,FeatureScaler2,0.8843316397913996,0.0464295121288221
cap mat.,30,1020,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_MagRt,ScaleControl2,0.2729350961933156,0.2081952963894095
cap mat.,30,1020,0.25,0.1,0.5,boxcar,FeatureScaler1,FreqControl,FeatureScaler2,0.8384691793216758,0.04020656310033386
cap mat.,30,1020,0.25,0.1,0.5,boxcar,FeatureScaler1,FreqControl,ScaleControl2,0.8384691793216758,0.04020656310033386
cap mat.,30,1020,0.25,0.1,0.5,boxcar,ScaleControl1,FreqControl,FeatureScaler2,0.8384691793216758,0.04020656310033386
cap mat.,30,1020,0.25,0.1,0.5,boxcar,ScaleControl1,FreqControl,ScaleControl2,0.537563667642383,0.03663454549021103
cap wear,30,11058,0.25,0.1,0.5,boxcar,FeatureScaler1,FFT_Mag,FeatureScaler2,0.9193806161506181,0.004562185759945164
cap wear,30,11058,0.25,0.1,0.5,boxcar,FeatureScaler1,FFT_Mag,ScaleControl2,0.9088887420975919,0.004514253740217593
cap wear,30,11058,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_Mag,FeatureScaler2,0.951769531095564,0.004059192753844001
cap wear,30,11058,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_Mag,ScaleControl2,0.6178396214537203,0.0047936184666752734
cap wear,30,11058,0.25,0.1,0.5,boxcar,FeatureScaler1,FFT_MagSq,FeatureScaler2,0.8912785159510338,0.005269300712214301
cap wear,30,11058,0.25,0.1,0.5,boxcar,FeatureScaler1,FFT_MagSq,ScaleControl2,0.8575912109682723,0.004841579694590306
cap wear,30,11058,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_MagSq,FeatureScaler2,0.9429682612389054,0.004144190441920651
cap wear,30,11058,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_MagSq,ScaleControl2,0.8533883421604784,0.005077856379499207
cap wear,30,11058,0.25,0.1,0.5,boxcar,FeatureScaler1,FFT_MagRt,FeatureScaler2,0.9305710611413832,0.004262547305829897
cap wear,30,11058,0.25,0.1,0.5,boxcar,FeatureScaler1,FFT_MagRt,ScaleControl2,0.9126551306856965,0.0035056164565984557
cap wear,30,11058,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_MagRt,FeatureScaler2,0.9585379852061792,0.00317580255932726
cap wear,30,11058,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_MagRt,ScaleControl2,0.724872761513676,0.029274038589658095
cap wear,30,11058,0.25,0.1,0.5,boxcar,FeatureScaler1,FreqControl,FeatureScaler2,0.9687187508462077,0.0027572400106207545
cap wear,30,11058,0.25,0.1,0.5,boxcar,FeatureScaler1,FreqControl,ScaleControl2,0.9687187508462077,0.0027572400106207545
cap wear,30,11058,0.25,0.1,0.5,boxcar,ScaleControl1,FreqControl,FeatureScaler2,0.9687187508462077,0.0027572400106207545
cap wear,30,11058,0.25,0.1,0.5,boxcar,ScaleControl1,FreqControl,ScaleControl2,0.9313455855090306,0.003475118467535294
sg mat.,30,1095,0.25,0.1,0.5,boxcar,FeatureScaler1,FFT_Mag,FeatureScaler2,0.5842621262444211,0.02990288380236795
sg mat.,30,1095,0.25,0.1,0.5,boxcar,FeatureScaler1,FFT_Mag,ScaleControl2,0.5842621262444211,0.02990288380236795
sg mat.,30,1095,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_Mag,FeatureScaler2,0.5843505791902324,0.029813042844571716
sg mat.,30,1095,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_Mag,ScaleControl2,0.5684329384104102,0.029095618909931314
sg mat.,30,1095,0.25,0.1,0.5,boxcar,FeatureScaler1,FFT_MagSq,FeatureScaler2,0.582223704080414,0.02942276503475606
sg mat.,30,1095,0.25,0.1,0.5,boxcar,FeatureScaler1,FFT_MagSq,ScaleControl2,0.5820555246366795,0.029686782266699702
sg mat.,30,1095,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_MagSq,FeatureScaler2,0.5833974748593366,0.029813437710914933
sg mat.,30,1095,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_MagSq,ScaleControl2,0.15384117190744767,0.18138385150504477
sg mat.,30,1095,0.25,0.1,0.5,boxcar,FeatureScaler1,FFT_MagRt,FeatureScaler2,0.5855793872694783,0.029566746553209153
sg mat.,30,1095,0.25,0.1,0.5,boxcar,FeatureScaler1,FFT_MagRt,ScaleControl2,0.5843611151365066,0.029923609645479732
sg mat.,30,1095,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_MagRt,FeatureScaler2,0.5850937711579366,0.029464601623795075
sg mat.,30,1095,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_MagRt,ScaleControl2,0.5780407748251103,0.028834809273519568
sg mat.,30,1095,0.25,0.1,0.5,boxcar,FeatureScaler1,FreqControl,FeatureScaler2,0.5827495642772299,0.030078236065777704
sg mat.,30,1095,0.25,0.1,0.5,boxcar,FeatureScaler1,FreqControl,ScaleControl2,0.5827495642772299,0.030078236065777704
sg mat.,30,1095,0.25,0.1,0.5,boxcar,ScaleControl1,FreqControl,FeatureScaler2,0.5827495642772299,0.030078236065777704
sg mat.,30,1095,0.25,0.1,0.5,boxcar,ScaleControl1,FreqControl,ScaleControl2,0.5620425526792512,0.02814405133539601
sg wear,30,11264,0.25,0.1,0.5,boxcar,FeatureScaler1,FFT_Mag,FeatureScaler2,0.9114189335950081,0.004124678161343632
sg wear,30,11264,0.25,0.1,0.5,boxcar,FeatureScaler1,FFT_Mag,ScaleControl2,0.9020336503542611,0.004109343870205155
sg wear,30,11264,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_Mag,FeatureScaler2,0.9236371367689391,0.00391451636435614
sg wear,30,11264,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_Mag,ScaleControl2,0.4770654496336075,0.008054917233183566
sg wear,30,11264,0.25,0.1,0.5,boxcar,FeatureScaler1,FFT_MagSq,FeatureScaler2,0.8682900778703949,0.005775209748495087
sg wear,30,11264,0.25,0.1,0.5,boxcar,FeatureScaler1,FFT_MagSq,ScaleControl2,0.8463344972011565,0.005137182438167477
sg wear,30,11264,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_MagSq,FeatureScaler2,0.8988377423000941,0.004127440459295822
sg wear,30,11264,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_MagSq,ScaleControl2,0.38619443544427406,0.010816437646139359
sg wear,30,11264,0.25,0.1,0.5,boxcar,FeatureScaler1,FFT_MagRt,FeatureScaler2,0.9128279331741822,0.004954128760913873
sg wear,30,11264,0.25,0.1,0.5,boxcar,FeatureScaler1,FFT_MagRt,ScaleControl2,0.8975489407774851,0.005487154779314602
sg wear,30,11264,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_MagRt,FeatureScaler2,0.9222289666683393,0.0039214010187953625
sg wear,30,11264,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_MagRt,ScaleControl2,0.5605226101290569,0.007401068236731078
sg wear,30,11264,0.25,0.1,0.5,boxcar,FeatureScaler1,FreqControl,FeatureScaler2,0.9530508742386617,0.003078059496762454
sg wear,30,11264,0.25,0.1,0.5,boxcar,FeatureScaler1,FreqControl,ScaleControl2,0.9530508742386617,0.003078059496762454
sg wear,30,11264,0.25,0.1,0.5,boxcar,ScaleControl1,FreqControl,FeatureScaler2,0.9530508742386617,0.003078059496762454
sg wear,30,11264,0.25,0.1,0.5,boxcar,ScaleControl1,FreqControl,ScaleControl2,0.5467874216457349,0.01015873171753697
