name,window_shape,window_duration,window_overlap,window_len,number_parallel_jobs,number_cross_validations,my_test_size,audio_fs,downsample_factor,load_date_time,num_samples,sample_lens,freq1,freq2,stand2,classifier,params,mean_score,std_dev,acc,acc_dev
Concrete Tool Wear,hamming,0.2,0.5,1102,3,8,0.5,5512,8,1689457454.1419394,1419,1102,FFT_Rt,FreqControl2,FeatureScaler2,rbf_svm,"{'rbf_svm__C': 10.0, 'rbf_svm__class_weight': 'balanced', 'rbf_svm__gamma': 0.001}",0.8698595434896732,0.016666509527638235,0.8698943661971832,0.016841700579132275
Concrete Tool Wear,hamming,0.2,0.5,1102,3,8,0.5,5512,8,1689457454.1419394,1419,1102,FFT_Rt,FreqControl2,FeatureScaler2,MLPClass1,None,0.8665506160795713,0.010177887846698435,0.8667253521126761,0.010514853325097984
Concrete Tool Wear,hamming,0.2,0.5,1102,3,8,0.5,5512,8,1689457454.1419394,1419,1102,FFT_Rt,FreqControl2,FeatureScaler2,MLPClass2,None,0.8749460330479168,0.0137598262644276,0.875,0.01397403861477779
Concrete Tool Wear,hamming,0.2,0.5,1102,3,8,0.5,5512,8,1689457454.1419394,1419,1102,FFT_Rt,FreqControl2,FeatureScaler2,MLPClass3,None,0.8673297785823567,0.014368810691361911,0.8674295774647887,0.014678284751475167
Concrete Tool Wear,hamming,0.2,0.5,1102,3,8,0.5,5512,8,1689457454.1419394,1419,1102,FFT_Rt,FreqControl2,FeatureScaler2,K5N,None,0.7460974955343,0.012938154220170051,0.7485915492957746,0.013042436040459232
Concrete Tool Wear,hamming,0.2,0.5,1102,3,8,0.5,5512,8,1689457454.1419394,1419,1102,FFT_Rt,FreqControl2,FeatureScaler2,K10N,None,0.7477320424194881,0.016273829207203775,0.7507042253521127,0.016273549307452572
Concrete Tool Wear,hamming,0.2,0.5,1102,3,8,0.5,5512,8,1689457454.1419394,1419,1102,FFT_Rt,FreqControl2,FeatureScaler2,K15N,None,0.7355804493369671,0.012925236298767207,0.7392605633802818,0.012625829679047166
Concrete Tool Wear,hamming,0.2,0.5,1102,3,8,0.5,5512,8,1689457454.1419394,1419,1102,FFT_Mag,FreqControl2,FeatureScaler2,rbf_svm,"{'rbf_svm__C': 3.1622776601683795, 'rbf_svm__class_weight': 'balanced', 'rbf_svm__gamma': 0.001}",0.8825109427740505,0.015784159939227438,0.8825704225352113,0.015995956082394187
Concrete Tool Wear,hamming,0.2,0.5,1102,3,8,0.5,5512,8,1689457454.1419394,1419,1102,FFT_Mag,FreqControl2,FeatureScaler2,MLPClass1,None,0.8898779644076595,0.013589515019744326,0.8901408450704225,0.013582606705623898
Concrete Tool Wear,hamming,0.2,0.5,1102,3,8,0.5,5512,8,1689457454.1419394,1419,1102,FFT_Mag,FreqControl2,FeatureScaler2,MLPClass2,None,0.8951362858557115,0.012980345784479375,0.8952464788732395,0.013230021749826876
Concrete Tool Wear,hamming,0.2,0.5,1102,3,8,0.5,5512,8,1689457454.1419394,1419,1102,FFT_Mag,FreqControl2,FeatureScaler2,MLPClass3,None,0.8878904860359706,0.017121145164161966,0.8880281690140845,0.017364546487236558
Concrete Tool Wear,hamming,0.2,0.5,1102,3,8,0.5,5512,8,1689457454.1419394,1419,1102,FFT_Mag,FreqControl2,FeatureScaler2,K5N,None,0.7566150028283019,0.012493159604481814,0.759330985915493,0.012820721841998228
Concrete Tool Wear,hamming,0.2,0.5,1102,3,8,0.5,5512,8,1689457454.1419394,1419,1102,FFT_Mag,FreqControl2,FeatureScaler2,K10N,None,0.7496385900123378,0.022058578540126102,0.7522887323943662,0.021037811577468143
Concrete Tool Wear,hamming,0.2,0.5,1102,3,8,0.5,5512,8,1689457454.1419394,1419,1102,FFT_Mag,FreqControl2,FeatureScaler2,K15N,None,0.7491690342762196,0.02093631387003776,0.752112676056338,0.020276309928011195
Concrete Tool Wear,hamming,0.2,0.5,1102,3,8,0.5,5512,8,1689457454.1419394,1419,1102,FFT_Sq,FreqControl2,FeatureScaler2,rbf_svm,"{'rbf_svm__C': 10.0, 'rbf_svm__class_weight': 'balanced', 'rbf_svm__gamma': 0.001}",0.8616664004702828,0.01978171794060966,0.8621478873239437,0.020109764998230854
Concrete Tool Wear,hamming,0.2,0.5,1102,3,8,0.5,5512,8,1689457454.1419394,1419,1102,FFT_Sq,FreqControl2,FeatureScaler2,MLPClass1,None,0.8715194835022722,0.014234454788737314,0.8716549295774647,0.01459357312355673
Concrete Tool Wear,hamming,0.2,0.5,1102,3,8,0.5,5512,8,1689457454.1419394,1419,1102,FFT_Sq,FreqControl2,FeatureScaler2,MLPClass2,None,0.8818066802006752,0.015415643097172957,0.8820422535211268,0.015695696540861056
Concrete Tool Wear,hamming,0.2,0.5,1102,3,8,0.5,5512,8,1689457454.1419394,1419,1102,FFT_Sq,FreqControl2,FeatureScaler2,MLPClass3,None,0.8832704829187776,0.01717574593324205,0.8836267605633803,0.017205848193596825
Concrete Tool Wear,hamming,0.2,0.5,1102,3,8,0.5,5512,8,1689457454.1419394,1419,1102,FFT_Sq,FreqControl2,FeatureScaler2,K5N,None,0.723322802767929,0.013942308590774227,0.7264084507042253,0.014272512816557236
Concrete Tool Wear,hamming,0.2,0.5,1102,3,8,0.5,5512,8,1689457454.1419394,1419,1102,FFT_Sq,FreqControl2,FeatureScaler2,K10N,None,0.7186974526730611,0.015194193236428693,0.7209507042253521,0.015547878009972106
Concrete Tool Wear,hamming,0.2,0.5,1102,3,8,0.5,5512,8,1689457454.1419394,1419,1102,FFT_Sq,FreqControl2,FeatureScaler2,K15N,None,0.7061136126499765,0.012627271791066902,0.709330985915493,0.012457774345306009
Concrete Tool Wear,hamming,0.2,0.5,1102,3,8,0.5,5512,8,1689457454.1419394,1419,1102,FreqControl1,FreqControl2,FeatureScaler2,rbf_svm,"{'rbf_svm__C': 3.1622776601683795, 'rbf_svm__class_weight': 'balanced', 'rbf_svm__gamma': 0.001}",0.41127133868204535,0.01489696557338915,0.41285211267605637,0.014695168477834687
Concrete Tool Wear,hamming,0.2,0.5,1102,3,8,0.5,5512,8,1689457454.1419394,1419,1102,FreqControl1,FreqControl2,FeatureScaler2,MLPClass1,None,0.3892178308143481,0.00610901694232415,0.3894366197183099,0.006415798295172049
Concrete Tool Wear,hamming,0.2,0.5,1102,3,8,0.5,5512,8,1689457454.1419394,1419,1102,FreqControl1,FreqControl2,FeatureScaler2,MLPClass2,None,0.39675638006107034,0.016312228917189062,0.3970070422535211,0.016431820086855634
Concrete Tool Wear,hamming,0.2,0.5,1102,3,8,0.5,5512,8,1689457454.1419394,1419,1102,FreqControl1,FreqControl2,FeatureScaler2,MLPClass3,None,0.3795387199718996,0.006434590145105339,0.3801056338028169,0.006622620730212677
Concrete Tool Wear,hamming,0.2,0.5,1102,3,8,0.5,5512,8,1689457454.1419394,1419,1102,FreqControl1,FreqControl2,FeatureScaler2,K5N,None,0.3758090659654308,0.022609649178485312,0.39595070422535217,0.01031245397577992
Concrete Tool Wear,hamming,0.2,0.5,1102,3,8,0.5,5512,8,1689457454.1419394,1419,1102,FreqControl1,FreqControl2,FeatureScaler2,K10N,None,0.34716195877129863,0.024955153296226266,0.377112676056338,0.017503223269910658
Concrete Tool Wear,hamming,0.2,0.5,1102,3,8,0.5,5512,8,1689457454.1419394,1419,1102,FreqControl1,FreqControl2,FeatureScaler2,K15N,None,0.33539610776355006,0.028847135713232448,0.3732394366197183,0.01541272438608401
